,job_link,job_description,cosine_similarity,candidate_id
122,https://www.workpac.com/job/boilermaker-87,boilermak job descript workpac townsvil current seek applic trade qualifi boilermak 6 month project howev potenti ongo complet project right candid to appli must have boilermak trade qualification read interpret plan drawingsmust experi fabric well excel weld skill be reliabl proactiv hard workinggantri crane forklift ticket advantagethi role monday friday posit rotat shift day afternoon shift week week day shift 06 00am 2 30pm afternoon shift 2 30pm 11 00pm pay rate 42 60 penalti 15 shift allow paid hour work 6 00pmappli now camila lazcanophon 07 4744 6905workpac australia s largest privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun look employe import us employe benefit program power flare hr offer benefit across health insur financi servic retail discount,[[0.03745887]],c001
121,https://www.workpac.com/job/boilermaker-88,boilermak job descript workpac townsvil current seek applic trade qualifi boilermak 6 month project howev potenti ongo complet project right candid to appli must have boilermak trade qualification read interpret plan drawingsmust experi fabric well excel weld skill be reliabl proactiv hard workinggantri crane forklift ticket advantagethi role monday friday posit rotat shift day afternoon shift week week day shift 06 00am 2 30pm afternoon shift 2 30pm 11 00pm pay rate 42 60 penalti 15 shift allow paid hour work 6 00pmappli now camila lazcanophon 07 4744 6905workpac australia s largest privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun look employe import us employe benefit program power flare hr offer benefit across health insur financi servic retail discount,[[0.03745887]],c001
7,https://www.workpac.com/job/trade-person-63,trade person new job descript workpac workpac australia s lead privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun regist appli us ongo access wide rang temporari perman job skill level role workpac seek tard qualifi bmw pipe fit experi busi workshop base henderson 6 month work success applic must structur steel experi heavi plate 50ml profici tack weld abl read interpret draw weld symbol skill experi requir trade qualifi elev work platformwork heightsconfin space gantri crane experi desir tack weld previou experi follow highli regard chutesstack beam column grad mesh hand rail car dumper conveyor work workpac look employe import us workplu employe benefit program offer benefit across health privat insur financi servic travel more we team dedic recruit field knowledg industri make continu contact ensur happi workpac s servic client commit ensur happi safe valuabl asset workpac 45 offic throughout australia mean flexibl work anywher australia us workpac larg footprint know local area alway help local commun how applyclick appli now upload resum siobhan fullard recruit coordin phone contact 08 6462 1142 workpac western recruit refer no 764j202070205,[[0.0370166]],c001
74,https://www.workpac.com/job/boilermaker-94,boilermak job descript skill fitter requir site base work greater brisban need trade cert recent experi within weld metal fabric construct also need driver licenc reliabl transport ppe immedi start avail role ongo right person,[[0.03699393]],c001
226,https://www.workpac.com/job/storeperson-45,storeperson job descript temp perm 30 hour penalit 9am start sometim 7am eastern creekour client lead water technolog compani commit solv water creat innov smart technolog solut meet world s water wastewat energi need current look full time storesperson join team eastern creek about roleth storeperson respons receiv pick packag dispatch good partial respons stock control use relev inform ensur product avail accuraci main dutiesrec store pack dispatch good accord establish polici procedur use suppli tool packag materi machin pick order part store area prepar product despatch includ manual handl item lift move necessari use machineri heavi item commun within team essenti enabl other assist task safe oper within lift capabl electr reach forklift counterbal ga forklift materi handl equip respons safe secur storag product rack system 8 metr particip stock control program involv daili cycl count random product needmust forklift licenc experi high reachcurr nsw driver licencegood written verbal commun skill abl work well within team strong work ethic punctual about workpacworkpac australia s lead privat own recruit provid mine construct engin light industri healthcar sector proud partner countri s lead compani deliv reward perman contract temporari traineeship recruit opportun appli nowclick appli button inform contact name belinda 03 87891900workpac job refer number newcij202092586at workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl,[[0.03688487]],c001
29,https://www.workpac.com/job/heavy-diesel-fitter-10,heavi diesel fitter new job descript perman positionattract ratesflex start dateabout workpacworkpac australia s lead privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun regist appli us ongo access wide rang temporari perman job skill level about rolean excit career opportun avail field servic technician hd fitter mechan join larg mine client perman role report branch servic manag or branch manag would respons carri mainten servic repair mobil plant equip ensur excel custom servic provid the role respons machin diagnost well test adjust machin oper monitor system addit would coordin site base equip mainten project particular coordin job requir follow work scope critic path role also involv gener technic report servic report tsi warranti claim process candid set roster mean attract make good money due overtim paid can 170 000 superannu key respons skil effect machin diagnost repair workshop pilbara regiondemonstr appropri level technic understand design function current equip system processes assist coordin major site base equip mainten projectsgood time keeper self starterth knowledg skill abil we re look relev trade certif mobil plant mechan hd diesel fitter earthmov heavi transport current mr classif driver licenc minimum requir excel knowledg understand design function komatsu mine equipmentextens experi komatsu equip wa900 1200 loader 730e 930e trucksfield servic mine site breakdown diagnost experi essentiala demonstr commit safeti abil work unsupervis remot areasexcel written verbal commun skill good understand comput systemsair con auto electr experi qualif diagnost skill highli regardedwhi engag workpac look employe import us workplu employe benefit program offer benefit across health privat insur financi servic travel more we team dedic recruit field knowledg industri make continu contact ensur happi workpac s servic client commit ensur happi safe valuabl asset workpac 45 offic throughout australia mean flexibl work anywher australia us workpac larg footprint know local area alway help local commun how applyclick appli now upload resum,[[0.03656033]],c001
120,https://www.workpac.com/job/boilermaker-89,boilermak job descript workpac townsvil current seek applic trade qualifi boilermak 6 month project howev potenti ongo complet project right candid to appli must have boilermak trade qualification read interpret plan drawingsmust experi fabric well excel weld skill be reliabl proactiv hard workinggantri crane forklift ticket advantagethi role monday friday posit rotat shift day afternoon shift week week day shift 06 00am 2 30pm afternoon shift 2 30pm 11 00pm pay rate 42 60 penalti 15 shift allow paid hour work 6 00pmappli now camila lazcanophon 07 4744 6905camila lazcano workpac comworkpac australia s largest privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun look employe import us employe benefit program power flare hr offer benefit across health insur financi servic retail discount,[[0.03644603]],c001
202,https://www.workpac.com/job/heavy-diesel-fitter-7,heavi diesel fitter job descript perman positionattract ratesflex start dateabout workpacworkpac australia s lead privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun regist appli us ongo access wide rang temporari perman job skill level about rolean excit career opportun avail field servic technician hd fitter mechan join larg mine client perman role report branch servic manag or branch manag would respons carri mainten servic repair mobil plant equip ensur excel custom servic provid the role respons machin diagnost well test adjust machin oper monitor system addit would coordin site base equip mainten project particular coordin job requir follow work scope critic path role also involv gener technic report servic report tsi warranti claim process candid set roster mean attract make good money due overtim paid can 170 000 superannu key respons skil effect machin diagnost repair workshop pilbara regiondemonstr appropri level technic understand design function current equip system processes assist coordin major site base equip mainten projectsgood time keeper self starterth knowledg skill abil we re look relev trade certif mobil plant mechan hd diesel fitter earthmov heavi transport current mr classif driver licenc minimum requir excel knowledg understand design function komatsu mine equipmentextens experi komatsu equip wa900 1200 loader 730e 930e trucksfield servic mine site breakdown diagnost experi essentiala demonstr commit safeti abil work unsupervis remot areasexcel written verbal commun skill good understand comput systemsair con auto electr experi qualif diagnost skill highli regardedwhi engag workpac look employe import us workplu employe benefit program offer benefit across health privat insur financi servic travel more we team dedic recruit field knowledg industri make continu contact ensur happi workpac s servic client commit ensur happi safe valuabl asset workpac 45 offic throughout australia mean flexibl work anywher australia us workpac larg footprint know local area alway help local commun how applyclick appli now upload resum,[[0.03618363]],c001
200,https://www.workpac.com/job/heavy-diesel-fitter-9,heavi diesel fitter job descript perman positionattract ratesflex start dateabout workpacworkpac australia s lead privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun regist appli us ongo access wide rang temporari perman job skill level about rolean excit career opportun avail field servic technician hd fitter mechan join larg mine client perman role report branch servic manag or branch manag would respons carri mainten servic repair mobil plant equip ensur excel custom servic provid the role respons machin diagnost well test adjust machin oper monitor system addit would coordin site base equip mainten project particular coordin job requir follow work scope critic path role also involv gener technic report servic report tsi warranti claim process candid set roster mean attract make good money due overtim paid can 170 000 superannu key respons skil effect machin diagnost repair workshop pilbara regiondemonstr appropri level technic understand design function current equip system processes assist coordin major site base equip mainten projectsgood time keeper self starterth knowledg skill abil we re look relev trade certif mobil plant mechan hd diesel fitter earthmov heavi transport current mr classif driver licenc minimum requir excel knowledg understand design function komatsu mine equipmentextens experi komatsu equip wa900 1200 loader 730e 930e trucksfield servic mine site breakdown diagnost experi essentiala demonstr commit safeti abil work unsupervis remot areasexcel written verbal commun skill good understand comput systemsair con auto electr experi qualif diagnost skill highli regardedwhi engag workpac look employe import us workplu employe benefit program offer benefit across health privat insur financi servic travel more we team dedic recruit field knowledg industri make continu contact ensur happi workpac s servic client commit ensur happi safe valuabl asset workpac 45 offic throughout australia mean flexibl work anywher australia us workpac larg footprint know local area alway help local commun how applyclick appli now upload resum,[[0.03618363]],c001
234,https://www.workpac.com/job/heavy-diesel-fitter-3,heavi diesel fitter job descript perman positionattract ratesflex start dateabout workpacworkpac australia s lead privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun regist appli us ongo access wide rang temporari perman job skill level about rolean excit career opportun avail field servic technician hd fitter mechan join larg mine client perman role report branch servic manag or branch manag would respons carri mainten servic repair mobil plant equip ensur excel custom servic provid the role respons machin diagnost well test adjust machin oper monitor system addit would coordin site base equip mainten project particular coordin job requir follow work scope critic path role also involv gener technic report servic report tsi warranti claim process candid set roster mean attract make good money due overtim paid can 170 000 superannu key respons skil effect machin diagnost repair workshop pilbara regiondemonstr appropri level technic understand design function current equip system processes assist coordin major site base equip mainten projectsgood time keeper self starterth knowledg skill abil we re look relev trade certif mobil plant mechan hd diesel fitter earthmov heavi transport current mr classif driver licenc minimum requir excel knowledg understand design function komatsu mine equipmentextens experi komatsu equip wa900 1200 loader 730e 930e trucksfield servic mine site breakdown diagnost experi essentiala demonstr commit safeti abil work unsupervis remot areasexcel written verbal commun skill good understand comput systemsair con auto electr experi qualif diagnost skill highli regardedwhi engag workpac look employe import us workplu employe benefit program offer benefit across health privat insur financi servic travel more we team dedic recruit field knowledg industri make continu contact ensur happi workpac s servic client commit ensur happi safe valuabl asset workpac 45 offic throughout australia mean flexibl work anywher australia us workpac larg footprint know local area alway help local commun how applyclick appli now upload resum,[[0.03618363]],c001
201,https://www.workpac.com/job/heavy-diesel-fitter-8,heavi diesel fitter job descript perman positionattract ratesflex start dateabout workpacworkpac australia s lead privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun regist appli us ongo access wide rang temporari perman job skill level about rolean excit career opportun avail field servic technician hd fitter mechan join larg mine client perman role report branch servic manag or branch manag would respons carri mainten servic repair mobil plant equip ensur excel custom servic provid the role respons machin diagnost well test adjust machin oper monitor system addit would coordin site base equip mainten project particular coordin job requir follow work scope critic path role also involv gener technic report servic report tsi warranti claim process candid set roster mean attract make good money due overtim paid can 170 000 superannu key respons skil effect machin diagnost repair workshop pilbara regiondemonstr appropri level technic understand design function current equip system processes assist coordin major site base equip mainten projectsgood time keeper self starterth knowledg skill abil we re look relev trade certif mobil plant mechan hd diesel fitter earthmov heavi transport current mr classif driver licenc minimum requir excel knowledg understand design function komatsu mine equipmentextens experi komatsu equip wa900 1200 loader 730e 930e trucksfield servic mine site breakdown diagnost experi essentiala demonstr commit safeti abil work unsupervis remot areasexcel written verbal commun skill good understand comput systemsair con auto electr experi qualif diagnost skill highli regardedwhi engag workpac look employe import us workplu employe benefit program offer benefit across health privat insur financi servic travel more we team dedic recruit field knowledg industri make continu contact ensur happi workpac s servic client commit ensur happi safe valuabl asset workpac 45 offic throughout australia mean flexibl work anywher australia us workpac larg footprint know local area alway help local commun how applyclick appli now upload resum,[[0.03618363]],c001
204,https://www.workpac.com/job/heavy-diesel-fitter-5,heavi diesel fitter job descript perman positionattract ratesflex start dateabout workpacworkpac australia s lead privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun regist appli us ongo access wide rang temporari perman job skill level about rolean excit career opportun avail field servic technician hd fitter mechan join larg mine client perman role report branch servic manag or branch manag would respons carri mainten servic repair mobil plant equip ensur excel custom servic provid the role respons machin diagnost well test adjust machin oper monitor system addit would coordin site base equip mainten project particular coordin job requir follow work scope critic path role also involv gener technic report servic report tsi warranti claim process candid set roster mean attract make good money due overtim paid can 170 000 superannu key respons skil effect machin diagnost repair workshop pilbara regiondemonstr appropri level technic understand design function current equip system processes assist coordin major site base equip mainten projectsgood time keeper self starterth knowledg skill abil we re look relev trade certif mobil plant mechan hd diesel fitter earthmov heavi transport current mr classif driver licenc minimum requir excel knowledg understand design function komatsu mine equipmentextens experi komatsu equip wa900 1200 loader 730e 930e trucksfield servic mine site breakdown diagnost experi essentiala demonstr commit safeti abil work unsupervis remot areasexcel written verbal commun skill good understand comput systemsair con auto electr experi qualif diagnost skill highli regardedwhi engag workpac look employe import us workplu employe benefit program offer benefit across health privat insur financi servic travel more we team dedic recruit field knowledg industri make continu contact ensur happi workpac s servic client commit ensur happi safe valuabl asset workpac 45 offic throughout australia mean flexibl work anywher australia us workpac larg footprint know local area alway help local commun appli now click appli button inform pleas contact kri mckinley recruit coordinatorworkpac biloela07 4800 3700 kri mckinley workpac com,[[0.03582161]],c001
203,https://www.workpac.com/job/heavy-diesel-fitter-6,heavi diesel fitter job descript perman posit flexibl start date attract ratesabout rolean excit career opportun avail field servic technician hd fitter mechan join larg mine client perman role report branch servic manag or branch manag would respons carri mainten servic repair mobil plant equip ensur excel custom servic provid the role respons machin diagnost well test adjust machin oper monitor system addit would coordin site base equip mainten project particular coordin job requir follow work scope critic path role also involv gener technic report servic report tsi warranti claim process candid set roster mean attract make good money due overtim paid can 170 000 superannu duti respons skil effect machin diagnost repair workshop pilbara region demonstr appropri level technic understand design function current equip system process abil assist coordin major site base equip mainten project good timekeep self starterskil experi relev trade certif mobil plant mechan hd diesel fitter earthmov heavi transport current mr classif driver licenc minimum requir excel knowledg understand design function komatsu mine equip extens experi komatsu equip wa900 1200 loader 730e 930e truck field servic mine site breakdown diagnost experi essenti demonstr commit safeti abil work unsupervis remot area excel written verbal commun skill good understand comput system air con auto electr experi qualif diagnost skill highli regard right work australia hold current driver s licenc current resum 2x work relat refereescultur benefit opportun work reput compani ongo work weekli wage workpacworkpac australia s lead privat own recruit provid mine construct engin light industri healthcar sector proud partner countri s lead compani deliv reward perman contract temporari traineeship recruit opportun appli now click onto appli button inform contact tayla jeffri recruit coordin workpac 07 4763 9705 tayla jeffri workpac com refer number 764j202069798at workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl also check us local websit www workpac com page 47639722,[[0.03533807]],c001
217,https://www.workpac.com/job/heavy-diesel-fitter-4,heavi diesel fitter job descript job highlightsperman positionexcel pay ratesvari locationsabout rolean excit career opportun avail field servic technician hd fitter mechan join larg mine client perman role report branch servic manag or branch manag would respons carri mainten servic repair mobil plant equip ensur excel custom servic provid the role respons machin diagnost well test adjust machin oper monitor system addit would coordin site base equip mainten project particular coordin job requir follow work scope critic path role also involv gener technic report servic report tsi warranti claim process candid set roster mean attract make good money due overtim paid can 170 000 superannu duti responsibilitiesskil effect machin diagnost repair workshop pilbara regiondemonstr appropri level technic understand design function current equip system processes assist coordin major site base equip mainten projectsgood time keeper self starterskil experiencecurr mr classif drive licenc minimum requir excel knowledg understand design function komatsu mine equipmentextens experi komatsu equip wa900 1200 loader 730e 930e trucksfield servic mine site breakdown diagnost experi essentiala demonstr commit safeti abil work unsupervis remot areasexcel written verbal commun skill good understand comput systemsair con auto electr experi qualif diagnost skill highli regardedabout workpacworkpac australia s lead privat own recruit provid mine construct engin light industri healthcar sector proud partner countri s lead compani deliv reward perman contract temporari traineeship recruit opportun how applyclick onto appli button inform contact deb lloyd 08 6462 1119workpac western region764j202069762at workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl,[[0.03401215]],c001
125,https://www.workpac.com/job/light-vehicle-fitter-10,light vehicl fitter job descript job highlights7 7 roster competit rate offerfifo perthongo posit full time opportun right candidateabout clientrio tinto oper world largest integr portfolio iron ore asset asset includ world class integr network 15 iron ore mine four port facil 1 700 kilometr rail network relat infrastructur rio tinto expand oper pilbara epic proport introduc next gener technolog deliv greater effici lower product cost improv health safeti environment perform about rolean ongo opportunityexist skill experienc light vehicl fitterwho contribut success oper cape lambertmin site locat pilbara region western australia report light mainten equip supervisor repair conduct prevent mainten 4wd ancillari vehicl machineri skill experienceproven experi repair mainten 4wd light vehiclesexcept diagnost troubleshoot interpret skill mechan electr compon vehiclesrelev australian recognis trade certificationair condit accredit aac02 automot air condit licenc manual c class australian issu driver licenc minimum hr driver licenc prefer about workpacworkpac australia lead privat own recruit provid mine construct engin light industri healthcar sector proud partner countri lead compani deliv reward perman contract temporari traineeship recruit opportun appli nowclick onto appli button inform contact mia low recruit coordinatorphon contact 08 6462 1121workpac western recruitmentrefer no tmprij202057563at workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl,[[0.03048124]],c001
315,https://www.workpac.com/job/boilermaker-local-mt-isa-45-dollars,boilermak local mt isa 45 job descript workpac mount isa current recruit sever posit boilermak ongo mine site work mount isa success must resid will reloc self mount isawork 100 mine site base carri gener mainten repair shutdown work variou lead copper area mine must will work lead environ clean shaven everi day wear respir shift to appli must have boilermak trade qualificationconfin space work height complet within last 2 yearsb physic fit capabl work extrem heat condit lead stream environmentsb reliabl proactiv hard workingy must abl obtain mine site requir pre employ medic drug alcohol blood leadfir first aidmanu handlingglencor surfac inductionthi role monday friday posit howev shutdown hour 13 1 off appli now camila lazcanophon 07 4744 6905workpac australia s largest privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun look employe import us employe benefit program power flare hr offer benefit across health insur financi servic retail discount,[[0.0303781]],c001
272,https://www.workpac.com/job/plant-fitter-4,mechan fix plant fitter job descript job highlight 6 6 roster ds ns residenti karratha 12 5 hour shiftsabout clientrio tinto oper world s largest integr portfolio iron ore asset asset includ world class integr network 15 iron ore mine four port facil 1 700 kilometr rail network relat infrastructur rio tinto expand oper pilbara epic proport introduc next gener technolog deliv greater effici lower product cost improv health safeti environment perform about roleworkpac current seek experienc mechan fitter experi fix plant mainten rail oper pilbara role open resid karratha dampier onli work 6 6 roster includ dayshift nightshift ongo role immedi start duti work roll stock mainten rsm workshop rio tinto s 7 mile rail site dampier support plant autom team also maintain asset cape lambert rsm mechan diagnosi repair servic varieti roll stock mainten support equip toyota trolley shunt mobil etc prevent breakdown mainten equip machin base fit work work manag system data entri flexibl varieti within roleskil experi trade qualifi fitter experienc fix plant experi conveyor hydraul rotat equip align motor changeout coupl bear confin space ticket work height forklift ticket current c class driver licens sap knowledg highli regard experi rail advantag knowledg understand oh practic commit contribut toward zero harm experi asset health condit monitor align highli regardedabout workpacworkpac australia s lead privat own recruit provid mine construct engin oil ga healthcar sector proud partner countri s lead compani deliv reward career opportun regist appli us ongo access wide rang temporari perman job skill level appli nowclick appli button inform contact chelsea renzullo recruit coordinatorwestern operationsrefer number tmprij202057007,[[0.02968235]],c001
191,https://www.workpac.com/job/trades-assistant-44,trade assist job descript job highlight 29 hour base rate assist boilermak ongo posit role workpac current seek skill experienc trade assist commenc role capalaba success candid workshop base requir assist boilermak oper forklift need current forklift ticket recent experi work similar role prefer within fabric environ duti respons assist boilermak oper forklift abil work workshop environ skill experi recent experi work similar role high risk forklift licenc current driver licenc right work within australiaabout workpac workpac australia s lead privat own recruit provid mine construct engin light industri healthcar sector proud partner countri s lead compani deliv reward perman contract temporari traineeship recruit opportun appli click appli button inform contact mikaela vorpagel 07 4969 4735 workpac northern oper job refer number bsindj2020104690 workpac recognis strengthen divers commit provid work environ everyon includ treat fairli respect equal opportun employ encourag applic women indigen peopl,[[0.02939737]],c001
